"Gene","logFC","AveExpr","t","PValue","FDR","B","Test"
"MR1",0.154315603310807,4.54796918920153,0.498930956805824,0.617876565974568,0.997173487616043,-5.1802158755341,"Old_vs_Young_Main_Effect"
"WDR49",0.0172871543764259,3.25664512392693,0.0307718439248718,0.975454211215967,0.99780411384501,-5.1802584640863,"Old_vs_Young_Main_Effect"
"ACAD11",-0.011212997116769,2.8000575617605,-0.0232684531586044,0.981438189052724,0.99780411384501,-5.18026198749725,"Old_vs_Young_Main_Effect"
"SH3TC1",0.14325183536685,4.04871768342734,0.364056625934818,0.715849768338503,0.997173487616043,-5.18030236384348,"Old_vs_Young_Main_Effect"
"CGN",-0.284203207934645,3.61106044644913,-0.713935082416163,0.47534101966629,0.997173487616043,-5.18032180468243,"Old_vs_Young_Main_Effect"
"USP18",-0.153474787148007,3.61833269502709,-0.394307482810034,0.693391229328767,0.997173487616043,-5.18034727032117,"Old_vs_Young_Main_Effect"
"PDXDC1",-0.175875228932361,5.83063081427176,-0.636481234549689,0.524527241536384,0.997173487616043,-5.18037311163577,"Old_vs_Young_Main_Effect"
"FAM156A",-0.0544180854370392,2.52988119222359,-0.0990190235673786,0.921131944205934,0.997173487616043,-5.1804220583715,"Old_vs_Young_Main_Effect"
"ODC1",0.210312415764353,5.40284774901259,0.636968920921916,0.524209578976447,0.997173487616043,-5.18048332880456,"Old_vs_Young_Main_Effect"
"MAPK1IP1L",0.191463358141247,6.01811166748861,0.679664108416088,0.496786748972671,0.997173487616043,-5.18052647083229,"Old_vs_Young_Main_Effect"
"PTPN22",-0.0946596211983422,3.57061388332654,-0.182128490577859,0.855498218651875,0.997173487616043,-5.18056313788902,"Old_vs_Young_Main_Effect"
"LRRN1",0.142467155606048,2.89866682866073,0.27503261985546,0.783316308818113,0.997173487616043,-5.18063915907332,"Old_vs_Young_Main_Effect"
"GPRIN3",0.132434162886188,3.99030019190467,0.261905562590407,0.793418110080911,0.997173487616043,-5.18064081327682,"Old_vs_Young_Main_Effect"
"ZNF239",0.0366191668638836,2.30067913966136,0.0688885149574411,0.945084452618696,0.997173487616043,-5.18068735672238,"Old_vs_Young_Main_Effect"
