"User ID","Value","Gene Name","Species"
"EIF4E","","eukaryotic translation initiation factor 4E(EIF4E)","Homo sapiens"
"EIF4G3","","eukaryotic translation initiation factor 4 gamma 3(EIF4G3)","Homo sapiens"
"ELL","","elongation factor for RNA polymerase II(ELL)","Homo sapiens"
"ELOB","","elongin B(ELOB)","Homo sapiens"
"EMC9","","ER membrane protein complex subunit 9(EMC9)","Homo sapiens"
"ENO1","","enolase 1(ENO1)","Homo sapiens"
"ENSG00000226471","","",""
"ENSG00000247925","","",""
"ENSG00000257764","","",""
"ENSG00000259865","","",""
"ENSG00000266311","","",""
"ENSG00000268416","","",""
"ENSG00000272368","","",""
"ENSG00000273748","","",""
"ENSG00000275234","","",""
"ENSG00000276850","","annexin A8(ANXA8)","Homo sapiens"
"ENSG00000278291","","",""
"ENSG00000283765","","presenilin associated rhomboid like(PARL)","Homo sapiens"
"EPS8L1","","EPS8 signaling adaptor L1(EPS8L1)","Homo sapiens"
"EPSTI1","","epithelial stromal interaction 1(EPSTI1)","Homo sapiens"
"ERAL1","","Era like 12S mitochondrial rRNA chaperone 1(ERAL1)","Homo sapiens"
"ERLEC1","","endoplasmic reticulum lectin 1(ERLEC1)","Homo sapiens"
"ETFDH","","electron transfer flavoprotein dehydrogenase(ETFDH)","Homo sapiens"
"FABP4","","fatty acid binding protein 4(FABP4)","Homo sapiens"
"FABP5","","fatty acid binding protein 5(FABP5)","Homo sapiens"
"FADS1","","fatty acid desaturase 1(FADS1)","Homo sapiens"
"FAM13A","","family with sequence similarity 13 member A(FAM13A)","Homo sapiens"
"FAM204A","","family with sequence similarity 204 member A(FAM204A)","Homo sapiens"
"FAM210A","","family with sequence similarity 210 member A(FAM210A)","Homo sapiens"
"FBH1","","F-box DNA helicase 1(FBH1)","Homo sapiens"
"FCGBP","","Fc gamma binding protein(FCGBP)","Homo sapiens"
"FCGR2B","","Fc gamma receptor IIb(FCGR2B)","Homo sapiens"
"FCN1","","ficolin 1(FCN1)","Homo sapiens"
"FIGNL1","","fidgetin like 1(FIGNL1)","Homo sapiens"
"FILIP1L","","filamin A interacting protein 1 like(FILIP1L)","Homo sapiens"
"FKBP1C","","FKBP prolyl isomerase family member 1C(FKBP1C)","Homo sapiens"
"FKBP5","","FKBP prolyl isomerase 5(FKBP5)","Homo sapiens"
"FRY","","FRY microtubule binding protein(FRY)","Homo sapiens"
"FST","","follistatin(FST)","Homo sapiens"
"FXN","","frataxin(FXN)","Homo sapiens"
"G3BP2","","G3BP stress granule assembly factor 2(G3BP2)","Homo sapiens"
"GALK2","","galactokinase 2(GALK2)","Homo sapiens"
"GALM","","galactose mutarotase(GALM)","Homo sapiens"
"GAS6","","growth arrest specific 6(GAS6)","Homo sapiens"
"GATA2","","GATA binding protein 2(GATA2)","Homo sapiens"
"GEMIN2","","gem nuclear organelle associated protein 2(GEMIN2)","Homo sapiens"
"GPC3","","glypican 3(GPC3)","Homo sapiens"
"GPR132","","G protein-coupled receptor 132(GPR132)","Homo sapiens"
"GPR176","","G protein-coupled receptor 176(GPR176)","Homo sapiens"
"GSTA1","","glutathione S-transferase alpha 1(GSTA1)","Homo sapiens"
"GSTM2","","glutathione S-transferase mu 2(GSTM2)","Homo sapiens"
"GSTO1","","glutathione S-transferase omega 1(GSTO1)","Homo sapiens"
"GTF3C3","","general transcription factor IIIC subunit 3(GTF3C3)","Homo sapiens"
"HACL1","","2-hydroxyacyl-CoA lyase 1(HACL1)","Homo sapiens"
"HAS3","","hyaluronan synthase 3(HAS3)","Homo sapiens"
"HAT1","","histone acetyltransferase 1(HAT1)","Homo sapiens"
"HBB","","hemoglobin subunit beta(HBB)","Homo sapiens"
"HDAC9","","histone deacetylase 9(HDAC9)","Homo sapiens"
"HEBP2","","heme binding protein 2(HEBP2)","Homo sapiens"
"HELB","","DNA helicase B(HELB)","Homo sapiens"
"HELLS","","helicase, lymphoid specific(HELLS)","Homo sapiens"
